country,_date,category_class,subject,hazards,reason_text,reference
Ecuador,2023-07-03 12:59:18,SPS,presence of vibrio vulnificus in frozen prawns of Ecuador originpresenza di vibrio vulnificus in gamberi congelati origine Ecuador,Vibrio vulnificus  - {pathogenic micro-organisms},presence of vibrio vulnificus in frozen prawns of Ecuador originpresenza di vibrio vulnificus in gamberi congelati origine Ecuador | Vibrio vulnificus  - {pathogenic micro-organisms},2023.444
Vietnam,2023-06-30 10:00:50,SPS,Exceedance of Doxycycline in Vannamei shrimp from Vietnam,doxycycline  residue level above MRL - {residues of veterinary medicinal products},Exceedance of Doxycycline in Vannamei shrimp from Vietnam | doxycycline  residue level above MRL - {residues of veterinary medicinal products},2023.4408
India,2023-06-19 14:51:53,SPS,nitrofurans (AOZ) in shrimps from India,nitrofuran (metabolite) furazolidone (AOZ) prohibited substance - {residues of veterinary medicinal products},nitrofurans (AOZ) in shrimps from India | nitrofuran (metabolite) furazolidone (AOZ) prohibited substance - {residues of veterinary medicinal products},2023.4117
Ecuador,2023-06-15 15:45:38,SPS,Vibrio cholerae en langostinos de Ecuador // Vibrio cholerae in shrimps from Ecuador,Vibrio cholerae  - {pathogenic micro-organisms},Vibrio cholerae en langostinos de Ecuador // Vibrio cholerae in shrimps from Ecuador | Vibrio cholerae  - {pathogenic micro-organisms},2023.4038
Ecuador,2023-06-15 15:45:11,SPS,Vibrio cholerae detectado en 25g de Langostinos g̩nero Penaeus de Ecuador / Vibrio cholerae detected in 25g of shrimps Penaeus spp. from Ecuador,Vibrio cholerae  - {pathogenic micro-organisms},Vibrio cholerae detectado en 25g de Langostinos g̩nero Penaeus de Ecuador / Vibrio cholerae detected in 25g of shrimps Penaeus spp. from Ecuador | Vibrio cholerae  - {pathogenic micro-organisms},2023.4037
Ecuador,2023-06-13 16:58:51,Other,Elevated levels of declared sulphites in Tiger prawns from Ecuador via Italy,sulphite  too high content - {food additives and flavourings},Elevated levels of declared sulphites in Tiger prawns from Ecuador via Italy | sulphite  too high content - {food additives and flavourings},2023.3981
Vietnam,2023-06-08 17:10:56,SPS,Pacific white shrimps from Vietnam via Latvia Salmonella Brunei,Salmonella Brunei  - {pathogenic micro-organisms},Pacific white shrimps from Vietnam via Latvia Salmonella Brunei | Salmonella Brunei  - {pathogenic micro-organisms},2023.384
Ecuador,2023-06-02 09:56:10,SPS,Shrimps (Litopenaeus vannamei) - Vibrio parahaemolyticus,Vibrio parahaemolyticus  - {pathogenic micro-organisms},Shrimps (Litopenaeus vannamei) - Vibrio parahaemolyticus | Vibrio parahaemolyticus  - {pathogenic micro-organisms},2023.3709
Ecuador,2023-05-22 15:24:30,SPS,Vibrio Cholerae en langostinos (litopenaeus vannamei) de Ecuador/ Vibrio cholerae in prawns from Ecuador,Vibrio cholerae  - {pathogenic micro-organisms},Vibrio Cholerae en langostinos (litopenaeus vannamei) de Ecuador/ Vibrio cholerae in prawns from Ecuador | Vibrio cholerae  - {pathogenic micro-organisms},2023.3394
India,2023-05-19 12:50:58,SPS,furazolidon (aoz) in shrimps from India,furazolidon   - {residues of veterinary medicinal products},furazolidon (aoz) in shrimps from India | furazolidon   - {residues of veterinary medicinal products},2023.3348
Vietnam,2023-05-17 09:37:00,SPS,furazolidon (aoz) in shrimps,furazolidon   - {residues of veterinary medicinal products},furazolidon (aoz) in shrimps | furazolidon   - {residues of veterinary medicinal products},2023.3267
Ecuador,2023-05-12 16:56:06,SPS,Vibrio in Blue Moon Frozen Shrimp from Ecuador,"Vibrio cholerae  - {pathogenic micro-organisms},Vibrio parahaemolyticus  - {pathogenic micro-organisms}","Vibrio in Blue Moon Frozen Shrimp from Ecuador | Vibrio cholerae  - {pathogenic micro-organisms},Vibrio parahaemolyticus  - {pathogenic micro-organisms}",2023.3189
Ecuador,2023-05-08 19:07:26,SPS,Vibrio cholerae en langostinos de Ecuador // Vibrio cholerae in shrimps from Ecuador,Vibrio cholerae  - {pathogenic micro-organisms},Vibrio cholerae en langostinos de Ecuador // Vibrio cholerae in shrimps from Ecuador | Vibrio cholerae  - {pathogenic micro-organisms},2023.3023
Ecuador,2023-05-05 10:45:12,SPS,Vibrio cholerae en langostinos de Ecuador // Vibrio cholerae in shrimps from Ecuador,Vibrio cholerae  - {pathogenic micro-organisms},Vibrio cholerae en langostinos de Ecuador // Vibrio cholerae in shrimps from Ecuador | Vibrio cholerae  - {pathogenic micro-organisms},2023.295
Ecuador,2023-04-28 16:28:06,SPS,CONSIGNMENT of frozen shrimps from Equador,Vibrio cholerae  - {pathogenic micro-organisms},CONSIGNMENT of frozen shrimps from Equador | Vibrio cholerae  - {pathogenic micro-organisms},2023.2828
India,2023-04-27 14:17:49,SPS,nitrofurans (AOZ) in shrimps from India,nitrofuran (metabolite) furazolidone (AOZ) prohibited substance - {residues of veterinary medicinal products},nitrofurans (AOZ) in shrimps from India | nitrofuran (metabolite) furazolidone (AOZ) prohibited substance - {residues of veterinary medicinal products},2023.2797
