MFG_FIRM_FEI_NUM,LGL_NAME,LINE1_ADRS,LINE2_ADRS,CITY_NAME,PROVINCE_STATE,ISO_CNTRY_CODE,PRODUCT_CODE,REFUSAL_DATE,DISTRICT,ENTRY_NUM,RFRNC_DOC_ID,LINE_NUM,LINE_SFX_ID,FDA_SAMPLE_ANALYSIS,PRIVATE_LAB_ANALYSIS,REFUSAL_CHARGES,PRDCT_CODE_DESC_TEXT,REFUSAL_DATE_PARSED,refusal_row_id,mapped_charge_count,mapped_charge_categories,mapped_charge_codes,sps_tbt_category,country_name,period
3026320360,LEAF FIBERS PRIVATE LIMITED,D 30-31 Sector A3 Tds City Toni,,Ghaziabad,Uttar Pradesh,IN,98NCA11,12-May-25,DWCI,W20-0041108-2,11,1,H,No,No,"3842, 3843",NICOTINE POUCH,2025-05-12,10707,2,"SPS, TBT","TP NO PMTA-3842, TP NO SE-3843",SPS+TBT,India,2024-2026
3026363271,SUNNY PHARMACY,5b Ravivsar Peth,Powai Naka,Satara,Maharashtra,IN,61HAY99,20-Jan-25,DSEI,SCS-7861417-3,51,1,,No,No,75,"ANTI-BACTERIAL, N.E.C.",2025-01-20,10708,1,Other/Unmatched,UNAPPROVED-75,Other/Unmatched,India,2024-2026
3040905401,SUCANTIS BIOTECH PVT,Plot # E127 & 128 Ind Area,,Karidwar,,IN,64XCY11,05-Dec-25,DSEI,SCS-4807471-5,20003,1,,No,No,75,ISOTRETINOIN (KERATOLYTIC),2025-12-05,10709,1,Other/Unmatched,UNAPPROVED-75,Other/Unmatched,India,2024-2026
3038136884,M/S SANCHI ENTERPRISE,Raja Rammoham Road,,Siliguri,West Bengal,IN,23BYT14,14-Oct-25,DNEI,SCS-5987323-7,20002,1,,No,No,3878,"BETEL NUT, SHELLED",2025-10-14,10710,1,SPS,POISONORD-3878,SPS,India,2024-2026
3013880726,ABBOTT INDIA,16th Floor Godrey Bkc P,,Mumbai,,IN,66YDY99,03-Sep-24,DSEI,799-2170975-5,11,26,,No,No,75,EXHIBITS - OTHER DRUG RELATED ITEMS N.E.C.,2024-09-03,10711,1,Other/Unmatched,UNAPPROVED-75,Other/Unmatched,India,2024-2026
3023049838,AYURVEDA PVT LTD,A 16 Ground Floor Karna,,Delhi,,IN,54YCT99,09-Oct-25,DSEI,799-2796288-8,20003,1,,No,No,75,"VITAMIN, MINERAL, PROTEINS AND UNCONVENTIONAL DIETARY SPECIALITIES FOR HUMANS AND ANIMALS, N.E.C.",2025-10-09,10712,1,Other/Unmatched,UNAPPROVED-75,Other/Unmatched,India,2024-2026
3018682347,ERIS LIFE SCIENCES LTD,Amingaon,,Guwahati,,IN,54AGA13,12-Feb-25,DSEI,799-5614430-8,11,3,,No,No,75,VITAMIN C (ASCORBIC ACID),2025-02-12,10713,1,Other/Unmatched,UNAPPROVED-75,Other/Unmatched,India,2024-2026
3000146207,Glaxo India,252 Annie Basant Rd,,Mumbai,Maharashtra,IN,64UDA05,14-Mar-25,DSEI,799-6241705-2,71,2,,No,No,75,CLAVULANATE POTASS./TICARCILLIN DISODIUM (INHIBITOR (DECARBOXYLASE)),2025-03-14,10714,1,Other/Unmatched,UNAPPROVED-75,Other/Unmatched,India,2024-2026
3003157498,Intas Pharmaceuticals Limited,Plot No. 457/458-Matoda / Plot No.191/218P-Chacharwadi,"Sarkhej-Bavla Highway, Taluka-Sanand, Matoda",Ahmedabad,Gujarat,IN,62LCA29,05-Jan-24,DSEI,231-9956360-7,61,1,,No,No,27,"HYDROXYCHLOROQUINE SULFATE (ANTI-PROTOZOAL, A-LEISHMANIAL, A-MALARIAL)",2024-01-05,10715,1,SPS,DRUG GMPS-27,SPS,India,2024-2026
3012620212,KOGTA IMPORT EXPORT PVT LTD,E-9/1 Midc Area,,Jalgaon,,IN,24AYT70,04-Sep-24,DSWI,512-1094325-7,191,1,,No,No,241,LENTILS,2024-09-04,10716,1,SPS,PESTICIDE-241,SPS,India,2024-2026
